machineSize numNodes numCores totNumCores totCost mpiThroughput mpiThroughputDeviation mpiLatency mpiLatencyDeviation tStage1Ruepel tMatLoadRuepel tKSPSolveRuepel nIterationRuepel tIterationRuepel mFlopsRuepel tStage1Nordborg tMatLoadNordborg tKSPSolveNordborg nIterationNordborg tIterationNordborg mFlopsNordborg winhpcgGFlops 
small 16 1 16 1.28 49.783 10.292 306.627 140.341 2.3327e+001 2.2940e+001 6.6720e+000 100 0.06672 2955 2.0276e+001 2.0121e+001 2.4744e+000 100 0.024744000000000002 2678 2.93584 
small 1 1 1 0.08 NA NA NA NA 6.8680e+000 6.3774e+000 5.9166e+001 100 0.59166 338 2.9974e+000 2.8188e+000 1.9015e+001 100 0.19015 357 0.253731 
small 2 1 2 0.16 36.358 0.000 258.911 0.000 1.1476e+001 1.0950e+001 3.2675e+001 100 0.32675 611 3.6568e+000 3.4821e+000 1.0853e+001 100 0.10853 624 0.475855 
small 32 1 32 2.56 49.527 13.175 340.583 158.624 5.8475e+001 5.8032e+001 9.0873e+000 200 0.045436500000000005 4308 5.2628e+001 5.2364e+001 4.2067e+000 200 0.021033499999999997 3100 5.12889 
small 4 1 4 0.32 43.712 10.932 326.128 97.017 6.8853e+000 6.5550e+000 1.7359e+001 100 0.17359000000000002 1150 2.4747e+000 2.3689e+000 5.5812e+000 100 0.055812 1211 0.941227 
small 64 1 64 5.12 50.497 13.807 318.303 154.227 1.3486e+002 1.3446e+002 7.7326e+000 200 0.038662999999999996 4912 1.2465e+002 1.2428e+002 4.2450e+000 200 0.021225 2927 9.2306 
small 8 1 8 0.64 39.421 8.634 406.313 166.561 1.0895e+001 1.0633e+001 1.1091e+001 100 0.11091 1792 6.8097e+000 6.5646e+000 4.1686e+000 100 0.041685999999999994 1610 1.62172 
