pipe01	1.95E+05	8
pipe02	4.33E+05	8,16
pipe06	1.02E+06	8,16,32
pipe04	2.04E+06	8,16,32,64
pipe05	4.01E+06	16,32,64,128
pipe07	8.10E+06	32,64,128,256
pipe08	1.55E+07	64,128,256,512

