NumCores	pipe01_time	pipe01_totalSize	pipe01_processorSize	pipe01_speedup	pipe01_efficiency_strong	pipe01_sizeup	pipe01_efficiency_weak	pipe02_time	pipe02_totalSize	pipe02_processorSize	pipe02_speedup	pipe02_efficiency_strong	pipe02_sizeup	pipe02_efficiency_weak	pipe06_time	pipe06_totalSize	pipe06_processorSize	pipe06_speedup	pipe06_efficiency_strong	pipe06_sizeup	pipe06_efficiency_weak	pipe04_time	pipe04_totalSize	pipe04_processorSize	pipe04_speedup	pipe04_efficiency_strong	pipe04_sizeup	pipe04_efficiency_weak	pipe05_time	pipe05_totalSize	pipe05_processorSize	pipe05_speedup	pipe05_efficiency_strong	pipe05_sizeup	pipe05_efficiency_weak	pipe07_time	pipe07_totalSize	pipe07_processorSize	pipe07_speedup	pipe07_efficiency_strong	pipe07_sizeup	pipe07_efficiency_weak	pipe08_time	pipe08_totalSize	pipe08_processorSize	pipe08_speedup	pipe08_efficiency_strong	pipe08_sizeup	pipe08_efficiency_weak
1.000000000000000000e+00	1.834427978515625000e+03	1.950000000000000000e+05	1.950000000000000000e+05	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	6.595975097656250000e+03	4.330000000000000000e+05	4.330000000000000000e+05	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.770893554687500000e+04	1.020000000000000000e+06	1.020000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	3.072983789062500000e+04	2.040000000000000000e+06	2.040000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	6.923344531250000000e+04	4.010000000000000000e+06	4.010000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.395210937500000000e+05	8.100000000000000000e+06	8.100000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	3.678590087890625000e+02	1.950000000000000000e+05	2.437500000000000000e+04	4.986769199371337891e+00	6.233461499214172363e-01	6.233461499214172363e-01	7.791826874017715454e-02	9.866110229492187500e+02	4.330000000000000000e+05	5.412500000000000000e+04	6.685486793518066406e+00	8.356858491897583008e-01	8.356858491897583008e-01	1.044607311487197876e-01	2.478353027343750000e+03	1.020000000000000000e+06	1.275000000000000000e+05	7.145445346832275391e+00	8.931806683540344238e-01	8.931806683540344238e-01	1.116475835442543030e-01	3.973305908203125000e+03	2.040000000000000000e+06	2.550000000000000000e+05	7.734072685241699219e+00	9.667590856552124023e-01	9.667590856552124023e-01	1.208448857069015503e-01	9.184439453125000000e+03	4.010000000000000000e+06	5.012500000000000000e+05	7.538124561309814453e+00	9.422655701637268066e-01	9.422655701637268066e-01	1.177831962704658508e-01	2.088812695312500000e+04	8.100000000000000000e+06	1.012500000000000000e+06	6.679444789886474609e+00	8.349305987358093262e-01	8.349305987358093262e-01	1.043663248419761658e-01	3.947347656250000000e+04	1.550000000000000000e+07	1.937500000000000000e+06	nan	nan	nan	nan
1.600000000000000000e+01	2.075220031738281250e+02	1.950000000000000000e+05	1.218750000000000000e+04	8.839679718017578125e+00	5.524799823760986328e-01	5.524799823760986328e-01	3.452999889850616455e-02	5.181190185546875000e+02	4.330000000000000000e+05	2.706250000000000000e+04	1.273061752319335938e+01	7.956635951995849609e-01	7.956635951995849609e-01	4.972897469997406006e-02	1.264050048828125000e+03	1.020000000000000000e+06	6.375000000000000000e+04	1.400967979431152344e+01	8.756049871444702148e-01	8.756049871444702148e-01	5.472531169652938843e-02	1.908345947265625000e+03	2.040000000000000000e+06	1.275000000000000000e+05	1.610286521911621094e+01	1.006429076194763184e+00	1.006429076194763184e+00	6.290181726217269897e-02	4.369900878906250000e+03	4.010000000000000000e+06	2.506250000000000000e+05	1.584325218200683594e+01	9.902032613754272461e-01	9.902032613754272461e-01	6.188770383596420288e-02	9.480926757812500000e+03	8.100000000000000000e+06	5.062500000000000000e+05	1.471597576141357422e+01	9.197484850883483887e-01	9.197484850883483887e-01	5.748428031802177429e-02	1.704489453125000000e+04	1.550000000000000000e+07	9.687500000000000000e+05	nan	nan	nan	nan
3.200000000000000000e+01	1.501499938964843750e+02	1.950000000000000000e+05	6.093750000000000000e+03	1.221730232238769531e+01	3.817906975746154785e-01	3.817906975746154785e-01	1.193095929920673370e-02	3.071549987792968750e+02	4.330000000000000000e+05	1.353125000000000000e+04	2.147441864013671875e+01	6.710755825042724609e-01	6.710755825042724609e-01	2.097111195325851440e-02	6.774520263671875000e+02	1.020000000000000000e+06	3.187500000000000000e+04	2.614050292968750000e+01	8.168907165527343750e-01	8.168907165527343750e-01	2.552783489227294922e-02	9.902089843750000000e+02	2.040000000000000000e+06	6.375000000000000000e+04	3.103368949890136719e+01	9.698027968406677246e-01	9.698027968406677246e-01	3.030633740127086639e-02	2.124525878906250000e+03	4.010000000000000000e+06	1.253125000000000000e+05	3.258771514892578125e+01	1.018366098403930664e+00	1.018366098403930664e+00	3.182394057512283325e-02	4.558407226562500000e+03	8.100000000000000000e+06	2.531250000000000000e+05	3.060742378234863281e+01	9.564819931983947754e-01	9.564819931983947754e-01	2.989006228744983673e-02	7.985212890625000000e+03	1.550000000000000000e+07	4.843750000000000000e+05	nan	nan	nan	nan
6.400000000000000000e+01	1.270609970092773438e+02	1.950000000000000000e+05	3.046875000000000000e+03	1.443738079071044922e+01	2.255840748548507690e-01	2.255840748548507690e-01	3.524751169607043266e-03	2.521289978027343750e+02	4.330000000000000000e+05	6.765625000000000000e+03	2.616111183166503906e+01	4.087673723697662354e-01	4.087673723697662354e-01	6.386990193277597427e-03	4.410020141601562500e+02	1.020000000000000000e+06	1.593750000000000000e+04	4.015613555908203125e+01	6.274396181106567383e-01	6.274396181106567383e-01	9.803744032979011536e-03	5.948410034179687500e+02	2.040000000000000000e+06	3.187500000000000000e+04	5.166059112548828125e+01	8.071967363357543945e-01	8.071967363357543945e-01	1.261244900524616241e-02	1.216433959960937500e+03	4.010000000000000000e+06	6.265625000000000000e+04	5.691508483886718750e+01	8.892982006072998047e-01	8.892982006072998047e-01	1.389528438448905945e-02	2.234170898437500000e+03	8.100000000000000000e+06	1.265625000000000000e+05	6.244870758056640625e+01	9.757610559463500977e-01	9.757610559463500977e-01	1.524626649916172028e-02	3.912101074218750000e+03	1.550000000000000000e+07	2.421875000000000000e+05	nan	nan	nan	nan
1.280000000000000000e+02	1.540200042724609375e+02	1.950000000000000000e+05	1.523437500000000000e+03	1.191032314300537109e+01	9.304939955472946167e-02	9.304939955472946167e-02	7.269484340213239193e-04	2.169609985351562500e+02	4.330000000000000000e+05	3.382812500000000000e+03	3.040166282653808594e+01	2.375129908323287964e-01	2.375129908323287964e-01	1.855570240877568722e-03	3.835979919433593750e+02	1.020000000000000000e+06	7.968750000000000000e+03	4.616535186767578125e+01	3.606668114662170410e-01	3.606668114662170410e-01	2.817709464579820633e-03	4.999700012207031250e+02	2.040000000000000000e+06	1.593750000000000000e+04	6.146336364746093750e+01	4.801825284957885742e-01	4.801825284957885742e-01	3.751426003873348236e-03	7.810120239257812500e+02	4.010000000000000000e+06	3.132812500000000000e+04	8.864581298828125000e+01	6.925454139709472656e-01	6.925454139709472656e-01	5.410511046648025513e-03	1.246782958984375000e+03	8.100000000000000000e+06	6.328125000000000000e+04	1.119048767089843750e+02	8.742568492889404297e-01	8.742568492889404297e-01	6.830131635069847107e-03	2.078028076171875000e+03	1.550000000000000000e+07	1.210937500000000000e+05	nan	nan	nan	nan
2.560000000000000000e+02	2.510630035400390625e+02	1.950000000000000000e+05	7.617187500000000000e+02	7.306643962860107422e+00	2.854157797992229462e-02	2.854157797992229462e-02	1.114905389840714633e-04	2.967170104980468750e+02	4.330000000000000000e+05	1.691406250000000000e+03	2.222985267639160156e+01	8.683536201715469360e-02	8.683536201715469360e-02	3.392006328795105219e-04	4.102099914550781250e+02	1.020000000000000000e+06	3.984375000000000000e+03	4.317041397094726562e+01	1.686344295740127563e-01	1.686344295740127563e-01	6.587282405234873295e-04	5.166849975585937500e+02	2.040000000000000000e+06	7.968750000000000000e+03	5.947499465942382812e+01	2.323241978883743286e-01	2.323241978883743286e-01	9.075163980014622211e-04	6.810980224609375000e+02	4.010000000000000000e+06	1.566406250000000000e+04	1.016497573852539062e+02	3.970693647861480713e-01	3.970693647861480713e-01	1.551052206195890903e-03	1.108037963867187500e+03	8.100000000000000000e+06	3.164062500000000000e+04	1.259172439575195312e+02	4.918642342090606689e-01	4.918642342090606689e-01	1.921344664879143238e-03	1.546041015625000000e+03	1.550000000000000000e+07	6.054687500000000000e+04	nan	nan	nan	nan
