Cores	pipe1	pipe2	pipe4	pipe6	pipe5
6	894.62	1864.79	0	0	0
12	486.45	743.86	4072.02	2365.75	5985.82
24	274.65	524.37	2008.19	1223.82	4403.74
36	219.74	376.78	1404.86	835.63	2937.19
48	188.05	336.3	1096.61	657.32	2239.57
60	171.94	264.225	915.85	597.59	1778.97

