machineSize numNodes numCores totNumCores totCost mpiThroughput mpiThroughputDeviation mpiLatency mpiLatencyDeviation tStage1Ruepel tMatLoadRuepel tKSPSolveRuepel nIterationRuepel tIterationRuepel mFlopsRuepel tStage1Nordborg tMatLoadNordborg tKSPSolveNordborg nIterationNordborg tIterationNordborg mFlopsNordborg winhpcgGFlops 
cluster_run02 1 4 4 0.0 NA NA NA NA 1.4252e+000 1.2681e+000 5.5907e+001 200 0.279535 719 5.0424e-001 4.3305e-001 1.8839e+001 169 0.11147337278106507 609 NA 
cluster_run02 1 8 8 0.0 NA NA NA NA 2.4530e+000 2.2458e+000 6.2673e+001 200 0.313365 639 4.4342e-001 3.3239e-001 3.0451e+001 199 0.15302010050251255 441 NA 
cluster_run02 2 8 16 0.0 NA NA NA NA 1.2936e+000 8.9321e-001 1.2548e+002 400 0.31370000000000003 636 5.9124e-001 3.0690e-001 4.3214e+001 192 0.22507291666666665 296 NA 
cluster_run02 4 8 32 0.0 NA NA NA NA 1.3208e+000 8.6778e-001 1.2332e+002 400 0.30829999999999996 638 5.8506e-001 2.9954e-001 4.8487e+001 200 0.242435 269 NA 
cluster_run02 8 8 64 0.0 NA NA NA NA 1.2971e+000 8.8396e-001 2.6918e+002 800 0.336475 569 6.8100e-001 3.6123e-001 9.0254e+001 314 0.2874331210191083 217 NA 
