pipe01	1.95E+05	6
pipe02	4.33E+05	6,12
pipe06	1.02E+06	6,12,24
pipe04	2.04E+06	6,12,24,48
pipe05	4.01E+06	12,24,48
pipe07	8.10E+06	24,48
pipe08	1.55E+07	48

