NumCores	pipe01_time	pipe01_totalSize	pipe01_processorSize	pipe01_speedup	pipe01_efficiency_strong	pipe01_sizeup	pipe01_efficiency_weak	pipe02_time	pipe02_totalSize	pipe02_processorSize	pipe02_speedup	pipe02_efficiency_strong	pipe02_sizeup	pipe02_efficiency_weak	pipe06_time	pipe06_totalSize	pipe06_processorSize	pipe06_speedup	pipe06_efficiency_strong	pipe06_sizeup	pipe06_efficiency_weak	pipe04_time	pipe04_totalSize	pipe04_processorSize	pipe04_speedup	pipe04_efficiency_strong	pipe04_sizeup	pipe04_efficiency_weak	pipe05_time	pipe05_totalSize	pipe05_processorSize	pipe05_speedup	pipe05_efficiency_strong	pipe05_sizeup	pipe05_efficiency_weak	pipe07_time	pipe07_totalSize	pipe07_processorSize	pipe07_speedup	pipe07_efficiency_strong	pipe07_sizeup	pipe07_efficiency_weak	pipe08_time	pipe08_totalSize	pipe08_processorSize	pipe08_speedup	pipe08_efficiency_strong	pipe08_sizeup	pipe08_efficiency_weak
1.000000000000000000e+00	3.395447998046875000e+03	1.950000000000000000e+05	1.950000000000000000e+05	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	8.081138183593750000e+03	4.330000000000000000e+05	4.330000000000000000e+05	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	2.078102148437500000e+04	1.020000000000000000e+06	1.020000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	3.222702929687500000e+04	2.040000000000000000e+06	2.040000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	8.068410156250000000e+04	4.010000000000000000e+06	4.010000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.660970625000000000e+05	8.100000000000000000e+06	8.100000000000000000e+06	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	8.946149902343750000e+02	1.950000000000000000e+05	3.250000000000000000e+04	3.795429229736328125e+00	6.325715780258178711e-01	6.325715780258178711e-01	1.054285913705825806e-01	1.864795043945312500e+03	4.330000000000000000e+05	7.216666406250000000e+04	4.333526134490966797e+00	7.222543954849243164e-01	7.222543954849243164e-01	1.203757300972938538e-01	4.546717773437500000e+03	1.020000000000000000e+06	1.700000000000000000e+05	4.570554256439208984e+00	7.617590427398681641e-01	7.617590427398681641e-01	1.269598454236984253e-01	7.779584960937500000e+03	2.040000000000000000e+06	3.400000000000000000e+05	4.142512798309326172e+00	6.904187798500061035e-01	6.904187798500061035e-01	1.150697916746139526e-01	1.772284570312500000e+04	4.010000000000000000e+06	6.683333125000000000e+05	4.552547931671142578e+00	7.587579488754272461e-01	7.587579488754272461e-01	1.264596581459045410e-01	3.807642578125000000e+04	8.100000000000000000e+06	1.350000000000000000e+06	4.362202167510986328e+00	7.270336747169494629e-01	7.270336747169494629e-01	1.211722791194915771e-01	7.532552343750000000e+04	1.550000000000000000e+07	2.583333250000000000e+06	nan	nan	nan	nan
1.200000000000000000e+01	4.864530029296875000e+02	1.950000000000000000e+05	1.625000000000000000e+04	6.980012416839599609e+00	5.816677212715148926e-01	5.816677212715148926e-01	4.847230762243270874e-02	9.770839843750000000e+02	4.330000000000000000e+05	3.608333203125000000e+04	8.270668983459472656e+00	6.892223954200744629e-01	6.892223954200744629e-01	5.743519961833953857e-02	2.365751953125000000e+03	1.020000000000000000e+06	8.500000000000000000e+04	8.784108161926269531e+00	7.320089936256408691e-01	7.320089936256408691e-01	6.100074946880340576e-02	4.072016113281250000e+03	2.040000000000000000e+06	1.700000000000000000e+05	7.914268970489501953e+00	6.595224142074584961e-01	6.595224142074584961e-01	5.496019870042800903e-02	9.585821289062500000e+03	4.010000000000000000e+06	3.341666562500000000e+05	8.417025566101074219e+00	7.014188170433044434e-01	7.014188170433044434e-01	5.845156684517860413e-02	1.870948632812500000e+04	8.100000000000000000e+06	6.750000000000000000e+05	8.877692222595214844e+00	7.398077249526977539e-01	7.398077249526977539e-01	6.165064126253128052e-02	3.607760546875000000e+04	1.550000000000000000e+07	1.291666625000000000e+06	nan	nan	nan	nan
2.400000000000000000e+01	2.746470031738281250e+02	1.950000000000000000e+05	8.125000000000000000e+03	1.236295318603515625e+01	5.151230692863464355e-01	5.151230692863464355e-01	2.146346122026443481e-02	5.243709716796875000e+02	4.330000000000000000e+05	1.804166601562500000e+04	1.541110801696777344e+01	6.421294808387756348e-01	6.421294808387756348e-01	2.675539627671241760e-02	1.223822998046875000e+03	1.020000000000000000e+06	4.250000000000000000e+04	1.698041343688964844e+01	7.075172662734985352e-01	7.075172662734985352e-01	2.947988547384738922e-02	2.008197998046875000e+03	2.040000000000000000e+06	8.500000000000000000e+04	1.604773521423339844e+01	6.686556339263916016e-01	6.686556339263916016e-01	2.786065079271793365e-02	4.403744140625000000e+03	4.010000000000000000e+06	1.670833281250000000e+05	1.832170486450195312e+01	7.634044289588928223e-01	7.634044289588928223e-01	3.180851787328720093e-02	9.025940429687500000e+03	8.100000000000000000e+06	3.375000000000000000e+05	1.840218925476074219e+01	7.667579054832458496e-01	7.667579054832458496e-01	3.194824606180191040e-02	1.643467382812500000e+04	1.550000000000000000e+07	6.458333125000000000e+05	nan	nan	nan	nan
3.600000000000000000e+01	2.197440032958984375e+02	1.950000000000000000e+05	5.416666503906250000e+03	1.545183467864990234e+01	4.292176365852355957e-01	4.292176365852355957e-01	1.192271243780851364e-02	3.767770080566406250e+02	4.330000000000000000e+05	1.202777734375000000e+04	2.144806671142578125e+01	5.957795977592468262e-01	5.957795977592468262e-01	1.654943451285362244e-02	8.355260009765625000e+02	1.020000000000000000e+06	2.833333398437500000e+04	2.487178230285644531e+01	6.908828616142272949e-01	6.908828616142272949e-01	1.919119060039520264e-02	1.404860961914062500e+03	2.040000000000000000e+06	5.666666796875000000e+04	2.293965721130371094e+01	6.372126936912536621e-01	6.372126936912536621e-01	1.770035177469253540e-02	2.937181884765625000e+03	4.010000000000000000e+06	1.113888906250000000e+05	2.746990203857421875e+01	7.630528211593627930e-01	7.630528211593627930e-01	2.119591273367404938e-02	5.595475097656250000e+03	8.100000000000000000e+06	2.250000000000000000e+05	2.968417549133300781e+01	8.245604038238525391e-01	8.245604038238525391e-01	2.290445566177368164e-02	1.075376953125000000e+04	1.550000000000000000e+07	4.305555625000000000e+05	nan	nan	nan	nan
4.800000000000000000e+01	1.880529937744140625e+02	1.950000000000000000e+05	4.062500000000000000e+03	1.805580329895019531e+01	3.761625587940216064e-01	3.761625587940216064e-01	7.836719974875450134e-03	3.363049926757812500e+02	4.330000000000000000e+05	9.020833007812500000e+03	2.402919387817382812e+01	5.006082057952880859e-01	5.006082057952880859e-01	1.042933762073516846e-02	6.573179931640625000e+02	1.020000000000000000e+06	2.125000000000000000e+04	3.161486625671386719e+01	6.586430668830871582e-01	6.586430668830871582e-01	1.372173056006431580e-02	1.096612060546875000e+03	2.040000000000000000e+06	4.250000000000000000e+04	2.938781356811523438e+01	6.122460961341857910e-01	6.122460961341857910e-01	1.275512762367725372e-02	2.239571044921875000e+03	4.010000000000000000e+06	8.354166406250000000e+04	3.602658843994140625e+01	7.505539059638977051e-01	7.505539059638977051e-01	1.563653908669948578e-02	4.455047851562500000e+03	8.100000000000000000e+06	1.687500000000000000e+05	3.728289031982421875e+01	7.767268419265747070e-01	7.767268419265747070e-01	1.618180982768535614e-02	7.971356933593750000e+03	1.550000000000000000e+07	3.229166562500000000e+05	nan	nan	nan	nan
6.000000000000000000e+01	1.719450073242187500e+02	1.950000000000000000e+05	3.250000000000000000e+03	1.974729156494140625e+01	3.291215300559997559e-01	3.291215300559997559e-01	5.485358648002147675e-03	2.642250061035156250e+02	4.330000000000000000e+05	7.216666503906250000e+03	3.058430480957031250e+01	5.097384452819824219e-01	5.097384452819824219e-01	8.495640009641647339e-03	5.975919799804687500e+02	1.020000000000000000e+06	1.700000000000000000e+04	3.477459716796875000e+01	5.795766115188598633e-01	5.795766115188598633e-01	9.659610688686370850e-03	9.158510131835937500e+02	2.040000000000000000e+06	3.400000000000000000e+04	3.518806838989257812e+01	5.864678025245666504e-01	5.864678025245666504e-01	9.774464182555675507e-03	1.778968994140625000e+03	4.010000000000000000e+06	6.683333593750000000e+04	4.535441589355468750e+01	7.559069395065307617e-01	7.559069395065307617e-01	1.259844936430454254e-02	3.571279052734375000e+03	8.100000000000000000e+06	1.350000000000000000e+05	4.650912475585937500e+01	7.751520872116088867e-01	7.751520872116088867e-01	1.291920151561498642e-02	6.391824218750000000e+03	1.550000000000000000e+07	2.583333281250000000e+05	nan	nan	nan	nan
