machineSize numNodes numCores totNumCores totCost mpiThroughput mpiThroughputDeviation mpiLatency mpiLatencyDeviation tStage1Ruepel tMatLoadRuepel tKSPSolveRuepel nIterationRuepel tIterationRuepel mFlopsRuepel tStage1Nordborg tMatLoadNordborg tKSPSolveNordborg nIterationNordborg tIterationNordborg mFlopsNordborg winhpcgGFlops 
07-xtralarge 1 1 1 0.0 NA NA NA NA 3.9749e+000 3.5697e+000 8.4722e+001 200 0.42361 475 2.0374e+000 1.8765e+000 2.8513e+001 143 0.1993916083916084 342 NA 
07-xtralarge 1 2 2 0.0 NA NA NA NA 3.3702e+000 3.1486e+000 4.2995e+001 200 0.214975 935 1.8248e+000 1.7149e+000 1.8413e+001 166 0.11092168674698795 613 NA 
07-xtralarge 1 4 4 0.0 NA NA NA NA 2.2887e+000 2.0979e+000 2.3157e+001 200 0.115785 1735 1.0657e+000 9.9797e-001 1.0844e+001 169 0.06416568047337277 1058 NA 
07-xtralarge 1 8 8 0.0 NA NA NA NA 1.5830e+000 1.4754e+000 1.3924e+001 200 0.06962 2875 7.7886e-001 7.2243e-001 9.4230e+000 199 0.04735175879396985 1426 NA 
07-xtralarge 2 8 16 0.0 NA NA NA NA 1.5838e+001 1.3289e+001 3.0076e+001 400 0.07519 2654 1.3233e+001 1.0705e+001 5.4653e+000 192 0.028465104166666668 2344 NA 
07-xtralarge 4 8 32 0.0 NA NA NA NA 5.1501e+001 4.8887e+001 1.4270e+001 400 0.035675 5516 4.6790e+001 4.4268e+001 4.4349e+000 200 0.0221745 2941 NA 
07-xtralarge 8 8 64 0.0 NA NA NA NA 1.2799e+002 1.2535e+002 1.8315e+001 800 0.02289375 8356 1.2132e+002 1.1871e+002 3.4196e+000 314 0.010890445859872611 5723 NA 
